party,variable,value,people,pct,question
Disillusioned Left,CC24_321a,1,2295.2794481567144,0.8401244562459841,"On the issue of gun regulation, do you support or oppose a proposal that would do the following? Ban assault rifles."
Disillusioned Left,CC24_321a,2,436.7912957577664,0.15987554375401594,"On the issue of gun regulation, do you support or oppose a proposal that would do the following? Ban assault rifles."
Disillusioned Left,CC24_321b,1,422.65262548455223,0.15470046902188933,"On the issue of gun regulation, do you support or oppose a proposal that would do the following? Make it easier for people to obtain concealed-carry permit."
Disillusioned Left,CC24_321b,2,2309.418118429928,0.8452995309781107,"On the issue of gun regulation, do you support or oppose a proposal that would do the following? Make it easier for people to obtain concealed-carry permit."
Disillusioned Left,CC24_321c,1,2658.1222837720716,0.9729331825293596,"On the issue of gun regulation, do you support or oppose a proposal that would do the following? Require criminal background checks on all gun sales."
Disillusioned Left,CC24_321c,2,73.94846014241013,0.02706681747064044,"On the issue of gun regulation, do you support or oppose a proposal that would do the following? Require criminal background checks on all gun sales."
Disillusioned Left,CC24_323a,1,2310.2054916357292,0.845587727470662,"What do you think the U.S. government should do about immigration? Grant legal status to all illegal immigrants who have held jobs and paid taxes for at least 3 years, and not been convicted of any felony crimes."
Disillusioned Left,CC24_323a,2,421.86525227875416,0.1544122725293379,"What do you think the U.S. government should do about immigration? Grant legal status to all illegal immigrants who have held jobs and paid taxes for at least 3 years, and not been convicted of any felony crimes."
Disillusioned Left,CC24_323b,1,1438.2351553511114,0.5264267620282868,What do you think the U.S. government should do about immigration? Increase the number of border patrols on the US-Mexican border.
Disillusioned Left,CC24_323b,2,1293.8355885633669,0.4735732379717133,What do you think the U.S. government should do about immigration? Increase the number of border patrols on the US-Mexican border.
Disillusioned Left,CC24_323c,1,395.8447687450037,0.14488818403649428,What do you think the U.S. government should do about immigration? Build a wall between the U.S. and Mexico.
Disillusioned Left,CC24_323c,2,2336.225975169481,0.8551118159635057,What do you think the U.S. government should do about immigration? Build a wall between the U.S. and Mexico.
Disillusioned Left,CC24_323d,1,2534.1975431296196,0.9275739102929108,What do you think the U.S. government should do about immigration? Provide permanent resident status to children of immigrants who were brought to the United States by their parents (also known as Dreamers).
Disillusioned Left,CC24_323d,2,197.87320078486457,0.07242608970708929,What do you think the U.S. government should do about immigration? Provide permanent resident status to children of immigrants who were brought to the United States by their parents (also known as Dreamers).
Disillusioned Left,CC24_324a,1,2511.5452547893974,0.9192826578095414,"On the topic of abortion, do you support or oppose each of the following proposals? Always allow a woman the right to obtain an abortion as a matter of choice."
Disillusioned Left,CC24_324a,2,220.52548912508615,0.0807173421904586,"On the topic of abortion, do you support or oppose each of the following proposals? Always allow a woman the right to obtain an abortion as a matter of choice."
Disillusioned Left,CC24_324c,1,125.6365918854791,0.04598584870663643,"On the topic of abortion, do you support or oppose each of the following proposals? Make abortions illegal in all circumstances."
Disillusioned Left,CC24_324c,2,2606.434152029005,0.9540141512933636,"On the topic of abortion, do you support or oppose each of the following proposals? Make abortions illegal in all circumstances."
Disillusioned Left,CC24_326a,1,2450.9601737562543,0.8971071408804525,Do you support or oppose each of the following proposals? Give the Environmental Protection Agency power to regulate carbon dioxide emissions.
Disillusioned Left,CC24_326a,2,281.11057015823064,0.10289285911954758,Do you support or oppose each of the following proposals? Give the Environmental Protection Agency power to regulate carbon dioxide emissions.
Disillusioned Left,CC24_326b,1,2568.706052553846,0.9402048092186044,"Do you support or oppose each of the following proposals? Require that at least 20 percent of electricity be generated with renewable sources such as wind, solar, or hydroelectric power."
Disillusioned Left,CC24_326b,2,163.3646913606359,0.05979519078139563,"Do you support or oppose each of the following proposals? Require that at least 20 percent of electricity be generated with renewable sources such as wind, solar, or hydroelectric power."
Disillusioned Left,CC24_326c,1,2444.19913030562,0.8946324452798016,Do you support or oppose each of the following proposals? Strengthen the Environmental Protection Agency enforcement of the Clean Air Act and Clean Water Act even if it costs U.S. jobs.
Disillusioned Left,CC24_326c,2,287.8716136088622,0.10536755472019832,Do you support or oppose each of the following proposals? Strengthen the Environmental Protection Agency enforcement of the Clean Air Act and Clean Water Act even if it costs U.S. jobs.
Disillusioned Left,CC24_326d,1,640.457851798669,0.23442213318423424,Do you support or oppose each of the following proposals? Increase fossil fuel production in the U.S.
Disillusioned Left,CC24_326d,2,2091.6128921158065,0.7655778668157659,Do you support or oppose each of the following proposals? Increase fossil fuel production in the U.S.
Disillusioned Left,CC24_328c,1,880.6740158622565,0.3223467100271487,Do you support or oppose each of the following proposals? Require able-bodied adults under 64 years of age who do not have dependents to have a job in order to receive Medicaid.
Disillusioned Left,CC24_328c,2,1851.396728052221,0.6776532899728513,Do you support or oppose each of the following proposals? Require able-bodied adults under 64 years of age who do not have dependents to have a job in order to receive Medicaid.
Disillusioned Left,CC24_328d,1,296.59443695315133,0.10856030635875612,Do you support or oppose each of the following proposals? Repeal the Affordable Care Act.
Disillusioned Left,CC24_328d,2,2435.4763069613346,0.8914396936412439,Do you support or oppose each of the following proposals? Repeal the Affordable Care Act.
Disillusioned Left,CC24_328e,1,2593.752388791601,0.9493723376559788,"Do you support or oppose each of the following proposals? Expand Medicaid to cover individuals making less than $25,000 and families making less than $40,000 a year."
Disillusioned Left,CC24_328e,2,138.31835512288143,0.05062766234402128,"Do you support or oppose each of the following proposals? Expand Medicaid to cover individuals making less than $25,000 and families making less than $40,000 a year."
Disillusioned Left,CC24_330a,1,974.1620271099246,0.35656544739180385,How would you rate each of the following individuals and groups? Yourself.
Disillusioned Left,CC24_330a,2,595.0047500544066,0.21778526466774092,How would you rate each of the following individuals and groups? Yourself.
Disillusioned Left,CC24_330a,3,349.00284133041237,0.12774297375270935,How would you rate each of the following individuals and groups? Yourself.
Disillusioned Left,CC24_330a,4,594.8238350196523,0.2177190456523083,How would you rate each of the following individuals and groups? Yourself.
Disillusioned Left,CC24_330a,5,93.23343031027684,0.0341255549542224,How would you rate each of the following individuals and groups? Yourself.
Disillusioned Left,CC24_330a,6,27.814893640335494,0.01018088338389167,How would you rate each of the following individuals and groups? Yourself.
Disillusioned Left,CC24_330a,7,8.591703312891495,0.00314475872633568,How would you rate each of the following individuals and groups? Yourself.
Disillusioned Left,CC24_330a,8,89.43726313657902,0.03273607147098774,How would you rate each of the following individuals and groups? Yourself.
Disillusioned Left,CC24_340c,1,2514.698139227733,0.9204366851879906,Do you support or oppose each of the following bills before Congress? Require that all federal agencies recognize same-sex marriages and interracial marriages.
